Algo,N,WorstCase,BestCase
3,100000,0.000000500,0.000000100
3,200000,0.000000300,0.000000100
3,400000,0.000000400,0.000000100
3,600000,0.000000800,0.000000200
3,800000,0.000001200,0.000000200
3,1000000,0.000000800,0.000000100
3,1200000,0.000001400,0.000000200
3,1400000,0.000000900,0.000000200
3,1600000,0.000001100,0.000000300
3,1800000,0.000000500,0.000000100
